taxa,Species,StudyPop,PC1 ,PC2 ,PC3
SRR5349835,P. sativum,Included,71.49878242,-55.88427826,-2.754316447
SRR5349838,P. sativum,Included,66.62412248,-39.21763978,4.413181172
SRR5349839,P. sativum,Included,63.82531258,-39.43122255,4.231463145
SRR5349840,P. sativum,Included,58.70902706,-35.88806434,10.04520722
SRR5349841,P. sativum,Included,60.00382513,-36.09647843,9.284751407
SRR5349847,P. sativum,Included,-87.48133909,220.6222188,-122.4959953
SRR5349849,P. sativum subsp. elatius,Included,48.05801654,-9.562288037,21.51374624
SRR5349851,P. sativum subsp. elatius,Included,-65.41447523,97.18541184,77.99488367
SRR5349854,P. sativum,Included,-68.17656884,125.1928635,58.7831776
SRR5349855,P. sativum subsp. elatius,Included,-57.33351297,90.57064431,69.46773991
SRR5349856,P. sativum subsp. elatius,Included,-57.7284852,72.9900714,60.06195137
SRR5349858,P. sativum subsp. elatius,Included,2.494310009,-4.471043009,42.17057844
SRR5349859,P. sativum,Included,65.52549406,-39.43404089,3.016248072
SRR5349861,P. sativum,Included,32.79727071,2.134516991,32.88555619
SRR5349925,P. sativum,Included,7.113091543,42.44580779,53.36400649
SRR5349926,P. sativum,Included,36.1536504,-2.683097684,25.92143986
SRR5349927,P. sativum,Included,11.98415149,35.50279255,45.12233001
SRR5349928,P. sativum,Included,32.83212215,7.81200043,26.44492107
SRR5349929,P. sativum subsp. elatius,Included,-44.94683796,84.78164263,73.23281283
SRR5349930,P. sativum,Included,-84.48255472,216.5148745,-114.0879672
SRR5349931,P. sativum,Included,-110.1716312,227.6606657,-96.3385347
SRR5349932,P. sativum,Included,-91.43419139,222.5185737,-121.0332497
SRR5349935,USDA-ARS,Included,38.11665682,-2.634811631,37.07735251
SRR5349936,P. sativum,Included,69.8015983,-57.57401702,6.011213223
SRR5349941,P. sativum,Included,18.75432954,19.09840889,47.63891529
SRR5349942,P. sativum,Included,10.11311236,20.19567541,47.63081009
SRR5349943,P. sativum,Included,4.476653542,40.19387624,57.15568766
SRR5349944,P. sativum,Included,3.234293896,58.93820035,31.60304296
SRR5349945,P. sativum subsp. sativum - Primary,Included,52.55562885,-12.99400171,23.3952008
SRR5349946,P. sativum,Included,-1.234755015,57.33304492,41.28509324
SRR5349947,P. sativum subsp. elatius,Included,-62.04230537,97.94337553,74.29495879
SRR5349948,P. sativum,Included,-215.4828574,108.5166675,152.9076186
SRR5349949,P. sativum subsp. sativum - Primary,Included,59.64330531,-35.46265352,11.71322551
SRR5349950,P. sativum subsp. sativum - Primary,Included,64.7176417,-30.07639554,-4.799944548
SRR5349951,P. sativum,Included,12.57207748,27.18912146,57.96660404
SRR5349952,P. sativum,Included,61.03585122,-32.67430268,10.39293723
SRR5349954,P. sativum,Included,35.3946915,-3.538672053,27.79378639
SRR5349955,P. sativum,Included,48.16570416,-43.26239115,18.06612292
SRR5349956,P. sativum,Included,18.54964414,25.90926274,45.06582572
SRR5349957,P. sativum,Included,56.35934389,-26.63594636,12.12091496
SRR5349958,P. sativum,Included,28.41823695,13.11276452,39.87665464
SRR5349959,P. sativum,Included,-70.00344744,149.0570243,31.96468139
SRR5349960,P. sativum subsp. sativum - Primary,Included,76.8847533,-63.66037505,-1.332196575
SRR5349961,P. sativum subsp. sativum - Primary,Included,92.97692523,-86.49828681,-21.33998982
SRR5349962,P. sativum,Included,71.58684904,-43.24659181,3.789637205
SRR5349963,P. sativum subsp. sativum - Primary,Included,61.82494917,-42.18718171,4.611924118
SRR5349964,P. sativum subsp. sativum - Primary,Included,86.48369482,-77.37518143,-12.43223933
SRR5349965,P. sativum subsp. sativum - Primary,Included,67.43418774,-42.85517163,7.314426428
SRR5349966,P. sativum subsp. sativum - Primary,Included,89.0064467,-81.69174262,-14.56575825
SRR5349967,P. sativum subsp. sativum - Primary,Included,87.34214133,-76.3481451,-10.65154534
SRR5349969,P. sativum,Included,-16.12246344,64.92022982,72.80392452
