A778_26_6,SRR5350229
PI_508092,SRR5350228
W6_10096,SRR5350227
Carnival,SRR5350226
Cascadia,SRR5350225
PI_601426,SRR5350224
PI_614141,SRR5350223
W6_34960,SRR5350222
Kiflica,SRR5350221
M193,SRR5350220
M194_1,SRR5350219
PI_664469,SRR5350218
OR_Giant,SRR5350217
OSPII,SRR5350216
PI_102888,SRR5350215
PI_103058,SRR5350214
PI_109866,SRR5350213
PI_116056,SRR5350212
PI_116844,SRR5350211
PI_116944,SRR5350210
PI_117264,SRR5350209
PI_117998,SRR5350208
PI_118501,SRR5350207
PI_121352,SRR5350206
PI_124478,SRR5350205
PI_125839,SRR5350204
PI_125840,SRR5350203
PI_134271,SRR5350202
PI_137118,SRR5350201
PI_137119,SRR5350200
PI_142775,SRR5350199
PI_143485,SRR5350198
PI_155109,SRR5350197
PI_156647,SRR5350196
PI_156720,SRR5350195
PI_162909,SRR5350194
PI_163126,SRR5350193
PI_163129,SRR5350192
PI_164548,SRR5350191
PI_164612,SRR5350190
PI_164779,SRR5350189
PI_164971,SRR5350188
PI_164972,SRR5350187
PI_165949,SRR5350186
PI_166084,SRR5350185
PI_166159,SRR5350184
PI_169608,SRR5350183
PI_172339,SRR5350182
PI_173840,SRR5350181
PI_174921,SRR5350180
PI_175231,SRR5350179
PI_179449,SRR5350178
PI_179450,SRR5350177
PI_179451,SRR5350176
PI_179459,SRR5350175
PI_179722,SRR5350174
PI_179970,SRR5350173
PI_180329,SRR5350172
PI_180693,SRR5350171
PI_180696,SRR5350170
PI_180699,SRR5350169
PI_180702,SRR5350168
PI_181799,SRR5350167
PI_181801,SRR5350166
PI_181958,SRR5350165
PI_183467,SRR5350164
PI_184130,SRR5350163
PI_184784,SRR5350162
PI_193578,SRR5350161
PI_193584,SRR5350160
PI_193590,SRR5350159
PI_195020,SRR5350158
PI_195404,SRR5350157
PI_195631,SRR5350156
PI_197044,SRR5350155
PI_197990,SRR5350154
PI_198072,SRR5350153
PI_198074,SRR5350152
PI_198735,SRR5350151
PI_201390,SRR5350150
PI_203066,SRR5350149
PI_203067,SRR5350148
PI_203068,SRR5350147
PI_203069,SRR5350146
PI_204306,SRR5350145
PI_206006,SRR5350144
PI_206838,SRR5350143
PI_206861,SRR5350142
PI_207508,SRR5350141
PI_209507,SRR5350140
PI_210558,SRR5350139
PI_210561,SRR5350138
PI_210568,SRR5350137
PI_210569,SRR5350136
PI_210571,SRR5350135
PI_210583,SRR5350134
PI_212031,SRR5350133
PI_212917,SRR5350132
PI_220174,SRR5350131
PI_220189,SRR5350130
PI_221697,SRR5350129
PI_222071,SRR5350128
PI_222117,SRR5350127
PI_227258,SRR5350126
PI_236492,SRR5350125
PI_241593,SRR5350124
PI_242027,SRR5350123
PI_242028,SRR5350122
