taxa,Species,PC1,PC2,PC3
SRR5349774,P. fulvum,-163.5843778,-111.9774499,15.70085985
SRR5349775,P. fulvum,-164.9009531,-112.3457157,15.49963767
SRR5349776,P. fulvum,-154.9118721,-105.1073115,15.51622859
SRR5349777,P. fulvum,-163.9297943,-111.9991765,15.3615383
SRR5349778,P. fulvum,-160.8810786,-107.952756,14.47404348
SRR5349779,P. fulvum,-162.0692646,-108.3093555,13.60486777
SRR5349780,P. fulvum,-156.8183507,-104.9118922,13.7384985
SRR5349781,P. fulvum,-158.9018374,-107.5165603,14.23622871
SRR5349782,P. fulvum,-160.5350364,-108.0506537,13.83186008
SRR5349783,P. fulvum,-154.2021018,-105.3001567,16.07600224
SRR5349784,P. fulvum,-163.8753255,-112.0374025,15.41322638
SRR5349785,P. fulvum,-153.6871921,-103.3228884,13.46481126
SRR5349786,P. fulvum,-153.7086139,-103.319586,13.6559423
SRR5349787,P. fulvum,-163.6958379,-112.1717814,16.10992767
SRR5349788,P. fulvum,-161.8972122,-107.481771,13.62477835
SRR5349789,P. fulvum,-161.4144256,-107.0266882,14.32622033
SRR5349790,P. fulvum,-158.3354485,-105.5727431,14.18012302
SRR5349791,P. fulvum,-160.0830053,-108.3790666,14.45290621
SRR5349792,P. fulvum,-159.4217736,-106.2372842,13.36237641
SRR5349793,P. fulvum,-162.7629624,-107.955878,14.0163068
SRR5349794,P. fulvum,-163.9362372,-107.6918844,13.56140892
SRR5349795,P. fulvum,-153.4911902,-103.5482219,13.92612478
SRR5349796,P. fulvum,-135.0390955,-94.76698973,12.98359462
SRR5349797,P. fulvum,-140.920031,-97.50378096,13.62802626
SRR5349798,P. fulvum,-150.7480898,-103.2884588,13.95752279
SRR5349799,P. sativum,-9.665562039,45.56535874,4.290414047
SRR5349800,P. sativum,-13.01373653,49.63259983,8.085375016
SRR5349801,P. sativum,16.58582759,16.46282557,-0.959740508
SRR5349802,P. sativum,-1.835169931,35.33065094,1.145667342
SRR5349803,P. sativum,30.38862395,-3.953135137,0.53819918
SRR5349804,P. sativum,3.72983338,25.39920859,3.524583033
SRR5349805,P. sativum,5.498424505,28.35619662,6.096838551
SRR5349806,P. sativum,41.31638636,-20.50033855,17.55947636
SRR5349807,P. sativum,-0.223066871,33.87542064,0.360070366
SRR5349808,P. sativum,-78.8212757,113.1911654,31.66983819
SRR5349809,P. sativum,-76.50420959,109.6409239,30.66638333
SRR5349810,P. sativum,-15.30123131,50.1311834,8.969079403
SRR5349811,P. sativum,-5.909651642,41.43839918,2.61490697
SRR5349812,P. sativum,-23.05030295,54.51807132,5.650509934
SRR5349813,P. sativum,-5.124810119,39.24611074,1.735295648
SRR5349814,P. sativum,22.84301236,11.22578204,-7.341132503
SRR5349815,P. sativum,-31.52626362,65.13284568,7.145656077
SRR5349816,P. sativum,-19.63953971,54.98160879,7.473924226
SRR5349817,P. sativum,-28.10634873,43.37677898,-3.931861104
SRR5349818,P. sativum,-7.547045599,42.59554306,5.932731666
SRR5349819,P. sativum,-6.984849799,41.8259106,5.961636134
SRR5349820,P. sativum,-6.285880631,41.43977403,4.966273253
SRR5349821,P. sativum,-40.75987938,78.1857975,18.70382736
SRR5349822,P. sativum,-28.73177764,62.70593685,23.16225599
SRR5349823,P. sativum,-6.820560563,41.1899052,5.276695702
SRR5349824,P. sativum,-62.05351664,92.64578841,20.1330796
