TAXA,Fe,K,P,Zn,Ca,IP6
SRR5349774,NA,NA,NA,NA,NA,NA
SRR5349775,NA,NA,NA,NA,NA,NA
SRR5349776,NA,NA,NA,NA,NA,NA
SRR5349777,NA,NA,NA,NA,NA,NA
SRR5349778,NA,NA,NA,NA,NA,NA
SRR5349779,NA,NA,NA,NA,NA,NA
SRR5349780,NA,NA,NA,NA,NA,NA
SRR5349781,NA,NA,NA,NA,NA,NA
SRR5349782,NA,NA,NA,NA,NA,NA
SRR5349783,NA,NA,NA,NA,NA,NA
SRR5349784,NA,NA,NA,NA,NA,NA
SRR5349785,NA,NA,NA,NA,NA,NA
SRR5349786,NA,NA,NA,NA,NA,NA
SRR5349787,NA,NA,NA,NA,NA,NA
SRR5349788,NA,NA,NA,NA,NA,NA
SRR5349789,NA,NA,NA,NA,NA,NA
SRR5349790,NA,NA,NA,NA,NA,NA
SRR5349791,NA,NA,NA,NA,NA,NA
SRR5349792,NA,NA,NA,NA,NA,NA
SRR5349793,NA,NA,NA,NA,NA,NA
SRR5349794,NA,NA,NA,NA,NA,NA
SRR5349795,NA,NA,NA,NA,NA,NA
SRR5349796,NA,NA,NA,NA,NA,NA
SRR5349797,NA,NA,NA,NA,NA,NA
SRR5349798,NA,NA,NA,NA,NA,NA
SRR5349799,NA,NA,NA,NA,NA,NA
SRR5349800,NA,NA,NA,NA,NA,NA
SRR5349801,NA,NA,NA,NA,NA,NA
SRR5349802,NA,NA,NA,NA,NA,NA
SRR5349803,NA,NA,NA,NA,NA,NA
SRR5349804,NA,NA,NA,NA,NA,NA
SRR5349805,NA,NA,NA,NA,NA,NA
SRR5349806,NA,NA,NA,NA,NA,NA
SRR5349807,NA,NA,NA,NA,NA,NA
SRR5349808,NA,NA,NA,NA,NA,NA
SRR5349809,NA,NA,NA,NA,NA,NA
SRR5349810,NA,NA,NA,NA,NA,NA
SRR5349811,NA,NA,NA,NA,NA,NA
SRR5349812,NA,NA,NA,NA,NA,NA
SRR5349813,NA,NA,NA,NA,NA,NA
SRR5349814,NA,NA,NA,NA,NA,NA
SRR5349815,NA,NA,NA,NA,NA,NA
SRR5349816,NA,NA,NA,NA,NA,NA
SRR5349817,NA,NA,NA,NA,NA,NA
SRR5349818,NA,NA,NA,NA,NA,NA
SRR5349819,NA,NA,NA,NA,NA,NA
SRR5349820,NA,NA,NA,NA,NA,NA
SRR5349821,NA,NA,NA,NA,NA,NA
SRR5349822,NA,NA,NA,NA,NA,NA
SRR5349823,NA,NA,NA,NA,NA,NA
SRR5349824,NA,NA,NA,NA,NA,NA
SRR5349825,NA,NA,NA,NA,NA,NA
SRR5349826,NA,NA,NA,NA,NA,NA
SRR5349827,NA,NA,NA,NA,NA,NA
SRR5349828,NA,NA,NA,NA,NA,NA
SRR5349829,NA,NA,NA,NA,NA,NA
SRR5349830,NA,NA,NA,NA,NA,NA
SRR5349831,NA,NA,NA,NA,NA,NA
SRR5349832,NA,NA,NA,NA,NA,NA
SRR5349833,NA,NA,NA,NA,NA,NA
SRR5349834,NA,NA,NA,NA,NA,NA
SRR5349835,-2.807129482,-1040.32381,NA,-1.004434213,NA,0.01490091
SRR5349836,NA,NA,NA,NA,196.8516328,NA
SRR5349837,NA,NA,NA,NA,NA,NA
SRR5349838,NA,41.50655759,NA,NA,NA,0.03795788
SRR5349839,0.272757594,388.730403,-103.2896194,-3.347710744,120.0842542,NA
SRR5349840,7.85519826,415.0810131,48.53124281,1.979170501,-136.3723393,0.00396308
SRR5349841,0.80373526,820.6153165,92.25363897,1.899263675,-103.3733837,-0.0330244
SRR5349842,NA,NA,NA,NA,-109.467997,NA
SRR5349843,NA,NA,NA,NA,NA,NA
SRR5349844,NA,NA,NA,NA,NA,NA
SRR5349845,NA,NA,NA,NA,NA,NA
SRR5349846,NA,NA,NA,NA,NA,NA
SRR5349847,NA,-178.3866338,-185.0753602,NA,NA,0.00502696
SRR5349848,NA,NA,NA,NA,-48.77787733,NA
SRR5349849,-2.149342113,138.3023311,-29.601215,-2.363695633,NA,0.03541932
SRR5349850,NA,NA,NA,NA,-119.3733489,NA
SRR5349851,9.578190243,-170.2931376,13.44855443,1.190575378,NA,NA
SRR5349852,NA,NA,NA,NA,61.17901213,NA
